Food Name,GI,Food Manufacturer,Product Category,Country of food production,Serving Size (g),Carbohydrate portion (g) or Average Carbohydrate portion (g),GL,Reference:,Subjects type,Time,Subjects Number,Year of test
Cranberry juice cocktail,52,"Ocean Spray, Melbourne, Australia",Fruit and Fruit Products,Australia,,15,10,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2000
Cranberry juice cocktail,68,"Ocean Spray Inc., Lakeville-Middleboro, MA, USA",Fruit and Fruit Products,USA,,15,14,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2000
"Cranberry juice drink, Ocean Spray®",56,"Gerber Ltd., Bridgewater, Somerset, UK",Fruit and Fruit Products,UK,,15,11,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2000
"Grape juice, 100%, Daily C",63,"Weichuan Shanghai, China",Fruit and Fruit Products,China,,15,13,"China National Research Institute of Food and Fermentation Industries GI Lab (Beijing, China), unpublished observations.",Normal,2h,10,2019
Grape Nectar,52,"Chateau Barossa, Lyndoch, SA, Australia",Fruit and Fruit Products,Australia,,15,10,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,9,2003
Orange juice,41,,Fruit and Fruit Products,New Zealand,,15,8,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2019
"Orange juice beverage, President's Choice® Blue Menu™ Oh-Mega j",48,"Loblaw Brands Limited, Canada",Fruit and Fruit Products,Canada,,15,10,"INQUIS Clinical Research (formerly GI Labs Ltd.) (Toronto, Canada), unpublished observations.",Normal,2h,10,2004-2007
"Orange juice, unsweetened, reconstituted concentrate, Mr Juicy brand",54,"Berri Ltd, Australia",Fruit and Fruit Products,Australia,,15,11,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2007
POM Pomegranate juice,53,"POM Wonderful LLC, USA",Fruit and Fruit Products,USA,,15,11,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,9,2009
Prune juice,43,"Golden Circle, Australia",Fruit and Fruit Products,Australia,,15,9,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,9,2004
"Tomato juice, low sodium, President's Choice® Blue Menu™",23,"Loblaw Brands Limited, Canada",Fruit and Fruit Products,Canada,,15,2,"INQUIS Clinical Research (formerly GI Labs Ltd.) (Toronto, Canada), unpublished observations.",Normal,2h,10,2004-2007
"Tomato juice, canned, no added sugar",38,"Berri Ltd, Australia",Fruit and Fruit Products,Australia,,15,4,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2002
"Watermelon (Citrullus lanatus), raw, red-fleshed, seedless, blended using an automatic juicer to form a juice",51,,Fruit and Fruit Products,Malaysia,,15,10,"Sabeetha, S., B.M.Y. Nisak, and I. Amin, Glycemic index of selected watermelon (Citrullus lanatus). International Food Research Journal, 2018. 25(6): p. 2547-2552.",Normal,2h,14,2017
"SuperJuice Greenzone, containing apple, orange and pineapple juice",47,,Fruit and Fruit Products,Australia,,15,9,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2006
"SuperJuice Immune, containing apple juice, pineapple juice and guava puree",47,,Fruit and Fruit Products,Australia,,15,9,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2006
"SuperJuice Kickstart, containing apple juice, blueberry puree and banana puree",39,,Fruit and Fruit Products,Australia,,15,8,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2006
"Apricot 100% Pure Fruit spread, no added sugar",43,"Freedom Foods, Australia",Fruit and Fruit Products,Australia,,15,6,"International Diabetes Institute (Melbourne, Australia), unpublished observations, 2006-2007.",Normal,2h,10,2006-2007
"Apricot 100% Fruit Spread, Cottees™",50,"Cadbury Schweppes, Australia",Fruit and Fruit Products,Australia,,15,8,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,9,2004
"Apricot fruit spread, reduced sugar",55,"Glen Ewin Jams, Para Hills, Australia",Fruit and Fruit Products,Australia,,15,8,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,1997
"Apricot spread, President's Choice® Blue Menu™ Twice the Fruit Apricot spread",56,"Loblaw Brands Limited, Canada",Fruit and Fruit Products,Canada,,15,8,"INQUIS Clinical Research (formerly GI Labs Ltd.) (Toronto, Canada), unpublished observations.",Normal,2h,10,2007
"Fruit spread, with thick apricot",63,"Rhapsodie de Fruit Thick Apricot, St Dalfour, Italy",Fruit and Fruit Products,Italy,,15,9,"Scazzina, F., et al., Glycemic index and glycemic load of commercial Italian foods. Nutrition, Metabolism, and Cardiovascular Diseases : NMCD, 2016. 26(5): p. 419-29.",Normal,2h,10,2010
"Apricot jam, organic apricot, with apple juice",63,"Fiordifrutta albicocca, Rigoni di Asiago, Italy",Fruit and Fruit Products,Italy,,15,9,"Scazzina, F., et al., Glycemic index and glycemic load of commercial Italian foods. Nutrition, Metabolism, and Cardiovascular Diseases : NMCD, 2016. 26(5): p. 419-29.",Normal,2h,10,2010
Apricot jam,69,"Confettura extra albicocche, Bonne Maman, Italy",Fruit and Fruit Products,Italy,,15,10,"Scazzina, F., et al., Glycemic index and glycemic load of commercial Italian foods. Nutrition, Metabolism, and Cardiovascular Diseases : NMCD, 2016. 26(5): p. 419-29.",Normal,2h,10,2010
"Berry compote, organic",44,"Fruttosa frutti di bosco, Rigoni di Asiago, Italy",Fruit and Fruit Products,Italy,,15,7,"Scazzina, F., et al., Glycemic index and glycemic load of commercial Italian foods. Nutrition, Metabolism, and Cardiovascular Diseases : NMCD, 2016. 26(5): p. 419-29.",Normal,2h,10,2009
"Blackberry 100% Fruit Spread, Cottees™ brand",46,"Cadbury Schweppes, Australia",Fruit and Fruit Products,Australia,,15,7,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,9,2004
"Blueberry fruit spread, wild blueberry",74,"Rhapsodie de Fruit Wild Blueberry, St. Dalfour, Italy",Fruit and Fruit Products,Italy,,15,11,"Scazzina, F., et al., Glycemic index and glycemic load of commercial Italian foods. Nutrition, Metabolism, and Cardiovascular Diseases : NMCD, 2016. 26(5): p. 419-29.",Normal,2h,10,2010
"Blueberry jam, wild blueberry",63,"Confettura extra mirtilli selvatici, Bonne Maman, Italy",Fruit and Fruit Products,Italy,,15,9,"Scazzina, F., et al., Glycemic index and glycemic load of commercial Italian foods. Nutrition, Metabolism, and Cardiovascular Diseases : NMCD, 2016. 26(5): p. 419-29.",Normal,2h,10,2010
"Blueberry jam, organic blueberry, with apple juice",51,"Fiordifrutta Mirtilli neri, Rigoni di Asiago, Italy",Fruit and Fruit Products,Italy,,15,8,"Scazzina, F., et al., Glycemic index and glycemic load of commercial Italian foods. Nutrition, Metabolism, and Cardiovascular Diseases : NMCD, 2016. 26(5): p. 419-29.",Normal,2h,10,2010
"Date spread, Divine",29,"Buderim Ginger, Buderim, QLD, Australia",Fruit and Fruit Products,Australia,,15,4,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2006
"Ginger Spread, sucrose-free",10,"Buderim Ginger, Australia",Fruit and Fruit Products,Australia,,15,2,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2006
"Ginger marmalade, Original",50,"Buderim Ginger, Australia",Fruit and Fruit Products,Australia,,15,8,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2006
"Orange fruit spread, with thick cut orange",68,"Rhapsodie de Fruit Orange Spread, Thick Cut St Dalfour, Italy",Fruit and Fruit Products,Italy,,15,10,"Scazzina, F., et al., Glycemic index and glycemic load of commercial Italian foods. Nutrition, Metabolism, and Cardiovascular Diseases : NMCD, 2016. 26(5): p. 419-29.",Normal,2h,10,2010
"Orange jam, organic bitter orange, with apple juice",51,"Fiordifrutta arance amare, Rigoni di Asiago, Italy",Fruit and Fruit Products,Italy,,15,8,"Scazzina, F., et al., Glycemic index and glycemic load of commercial Italian foods. Nutrition, Metabolism, and Cardiovascular Diseases : NMCD, 2016. 26(5): p. 419-29.",Normal,2h,10,2010
"Orange marmalade, bitter orange",55,"Marmellata arance amare, Bonne Maman, Italy",Fruit and Fruit Products,Italy,,15,8,"Scazzina, F., et al., Glycemic index and glycemic load of commercial Italian foods. Nutrition, Metabolism, and Cardiovascular Diseases : NMCD, 2016. 26(5): p. 419-29.",Normal,2h,10,2010
"Orange marmalade, orange 100% Pure Fruit spread, no added sugar",27,"Freedom Foods, Australia",Fruit and Fruit Products,Australia,,15,4,"International Diabetes Institute (Melbourne, Australia), unpublished observations, 2006-2007.",Normal,2h,9,2006
Orange marmalade,48,,Fruit and Fruit Products,Australia,,15,7,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,9,1997
"Orange marmalade 100% Fruit Spread, Cottees™",55,"Cadbury Schweppes, Australia",Fruit and Fruit Products,Australia,,15,8,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,9,2004
"Peach/Apricot compote, organic",47,"Fruttosa pesca/albicocca, Rigoni di Asiago, Italy",Fruit and Fruit Products,Italy,,15,7,"Scazzina, F., et al., Glycemic index and glycemic load of commercial Italian foods. Nutrition, Metabolism, and Cardiovascular Diseases : NMCD, 2016. 26(5): p. 419-29.",Normal,2h,10,2009
"Raspberry 100% Pure Fruit spread, no added sugar",26,"Freedom Foods, Australia",Fruit and Fruit Products,Australia,,15,4,"International Diabetes Institute (Melbourne, Australia), unpublished observations, 2006-2007.",Normal,2h,10,2006
"Raspberry 100% Fruit Spread, Cottees™ brand",46,"Cadbury Schweppes, Australia",Fruit and Fruit Products,Australia,,15,7,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,9,2004
Strawberry jam,51,,Fruit and Fruit Products,Australia,,15,8,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,9,1998
"Strawberry 100% Pure Fruit spread, no added sugar",29,"Freedom Foods, Australia",Fruit and Fruit Products,Australia,,15,4,"International Diabetes Institute (Melbourne, Australia), unpublished observations, 2006-2007.",Normal,2h,10,2006
"Strawberry100% Fruit Spread, Cottees™ brand \",46,"Cadbury Schweppes, Australia",Fruit and Fruit Products,Australia,,15,7,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,9,2004
"Strawberry & Rhubarb Fruit Spread, President's Choice® Blue Menu™ Twice the Fruit Spread",69,"Loblaw Brands Limited, Canada",Fruit and Fruit Products,Canada,,15,10,"INQUIS Clinical Research (formerly GI Labs Ltd.) (Toronto, Canada), unpublished observations.",Normal,2h,10,2007
"Breast milk, human, unpasteurized",38,,Infant Formula and Weaning Foods,Australia,,10,4,"Wright, C.J., et al., Effects of human milk and formula on postprandial glycaemia and insulinaemia. European Journal of Clinical Nutrition, 2015. 69(8): p. 939-43.",Normal,2h,10 (adults),2011
"Infasoy™, soy-based, milk-free",55,"Wyeth Nutritionals, Baulkham Hills, NSW, Australia",Infant Formula and Weaning Foods,Australia,,10,6,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,11 (adults),2001
"Karicare from Birth Infant formula, containing 83% lactose, 17% maltodextrins",30,Nutricia Australia Pty Ltd,Infant Formula and Weaning Foods,Australia,,10,3,"Wright, C.J., et al., Effects of human milk and formula on postprandial glycaemia and insulinaemia. European Journal of Clinical Nutrition, 2015. 69(8): p. 939-43.",Normal,2h,10 (adults),2010
"Karicare DeLact Formula for special medical needs, containing 100% corn syrup solids",67,Nutricia Australia Pty Ltd,Infant Formula and Weaning Foods,Australia,,10,7,"Wright, C.J., et al., Effects of human milk and formula on postprandial glycaemia and insulinaemia. European Journal of Clinical Nutrition, 2015. 69(8): p. 939-43.",Normal,2h,10 (adults),2010
Karicare™ gold starter formula with omega plus LCP oils,35,"Nutricia, Auckland, New Zealand",Infant Formula and Weaning Foods,New Zealand,,10,4,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10 (adults),2001
"Karicare Soy Formula for special medical needs, containing 51% corn syrup solids, 49% maltodextrins",60,Nutricia Australia Pty Ltd,Infant Formula and Weaning Foods,Australia,,10,6,"Wright, C.J., et al., Effects of human milk and formula on postprandial glycaemia and insulinaemia. European Journal of Clinical Nutrition, 2015. 69(8): p. 939-43.",Normal,2h,10 (adults),2010
Nan-1™ infant formula with iron,30,"Nestlé, Australia",Infant Formula and Weaning Foods,Australia,,10,3,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,9 (adults),2001
"Novalac Colic Formula for special medical needs, containing maltodextrins, lactose",57,Bayer Australia Limited,Infant Formula and Weaning Foods,Australia,,10,6,"Wright, C.J., et al., Effects of human milk and formula on postprandial glycaemia and insulinaemia. European Journal of Clinical Nutrition, 2015. 69(8): p. 939-43.",Normal,2h,10 (adults),2010
"Novalac Reflux Formula for special medical needs, containing lactose, starch",38,Bayer Australia Limited,Infant Formula and Weaning Foods,Australia,,10,4,"Wright, C.J., et al., Effects of human milk and formula on postprandial glycaemia and insulinaemia. European Journal of Clinical Nutrition, 2015. 69(8): p. 939-43.",Normal,2h,10 (adults),2010
"Novalac Sweet Dreams Formula for special medical needs, containing maltodextrins, lactose, dextrose, starch",52,Bayer Australia Limited,Infant Formula and Weaning Foods,Australia,,10,5,"Wright, C.J., et al., Effects of human milk and formula on postprandial glycaemia and insulinaemia. European Journal of Clinical Nutrition, 2015. 69(8): p. 939-43.",Normal,2h,10 (adults),2010
S-26™ infant formula,36,"Wyeth Nutritionals, Baulkham Hills, NSW, Australia",Infant Formula and Weaning Foods,Australia,,10,4,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10 (adults),2001
"S-26 Gold Newborn Infant formula, containing 100% lactose",19,"Wyeth Nutritionals, Baulkham Hills, NSW, Australia",Infant Formula and Weaning Foods,Australia,,10,2,"Wright, C.J., et al., Effects of human milk and formula on postprandial glycaemia and insulinaemia. European Journal of Clinical Nutrition, 2015. 69(8): p. 939-43.",Normal,2h,10 (adults),2010
"S-26 Gold PremGro Formula for special medical needs, containing 76% lactose, 24% corn syrup solids",26,"Wyeth Nutritionals, Baulkham Hills, NSW, Australia",Infant Formula and Weaning Foods,Australia,,10,3,"Wright, C.J., et al., Effects of human milk and formula on postprandial glycaemia and insulinaemia. European Journal of Clinical Nutrition, 2015. 69(8): p. 939-43.",Normal,2h,10 (adults),2010
"S-26 Gold Progress Infant formula, containing 100% lactose",34,"Wyeth Nutritionals, Baulkham Hills, NSW, Australia",Infant Formula and Weaning Foods,Australia,,10,3,"Wright, C.J., et al., Effects of human milk and formula on postprandial glycaemia and insulinaemia. European Journal of Clinical Nutrition, 2015. 69(8): p. 939-43.",Normal,2h,10 (adults),2010
"Karicare Follow On Follow-on formula, containing 86% lactose, 14% maltodextrins",37,,Infant Formula and Weaning Foods,Australia,,10,4,"Wright, C.J., et al., Effects of human milk and formula on postprandial glycaemia and insulinaemia. European Journal of Clinical Nutrition, 2015. 69(8): p. 939-43.",Normal,2h,10 (adults),2010
"S-26 Gold Progress Follow-on formula, containing 100% lactose",23,"Wyeth Nutritionals, Baulkham Hills, NSW, Australia",Infant Formula and Weaning Foods,Australia,,10,2,"Wright, C.J., et al., Effects of human milk and formula on postprandial glycaemia and insulinaemia. European Journal of Clinical Nutrition, 2015. 69(8): p. 939-43.",Normal,2h,10 (adults),2010
"S-26 Gold Toddler Follow-on formula, containing 86% lactose, 14% maltodextrins",18,"Wyeth Nutritionals, Baulkham Hills, NSW, Australia",Infant Formula and Weaning Foods,Australia,,10,2,"Wright, C.J., et al., Effects of human milk and formula on postprandial glycaemia and insulinaemia. European Journal of Clinical Nutrition, 2015. 69(8): p. 939-43.",Normal,2h,10 (adults),2010
"Growing up beverage powder, product 1",66,,Infant Formula and Weaning Foods,Malaysia,,10,7,"Brand-Miller, J., F. Atkinson, and A. Rowan, Effect of added carbohydrates on glycemic and insulin responses to children's milk products. Nutrients, 2013. 5(1): p. 23-31.",Normal,2h,11 (adults),2011
"Growing up beverage powder, product 2",55,,Infant Formula and Weaning Foods,Indonesia,,10,6,"Brand-Miller, J., F. Atkinson, and A. Rowan, Effect of added carbohydrates on glycemic and insulin responses to children's milk products. Nutrients, 2013. 5(1): p. 23-31.",Normal,2h,11 (adults),2011
"Growing up beverage powder, product 3",23,,Infant Formula and Weaning Foods,Malaysia,,10,2,"Brand-Miller, J., F. Atkinson, and A. Rowan, Effect of added carbohydrates on glycemic and insulin responses to children's milk products. Nutrients, 2013. 5(1): p. 23-31.",Normal,2h,11 (adults),2011
"Growing up beverage powder, product 4",51,,Infant Formula and Weaning Foods,Indonesia,,10,5,"Brand-Miller, J., F. Atkinson, and A. Rowan, Effect of added carbohydrates on glycemic and insulin responses to children's milk products. Nutrients, 2013. 5(1): p. 23-31.",Normal,2h,11 (adults),2011
"Growing up beverage powder, product 5",54,,Infant Formula and Weaning Foods,Malaysia,,10,5,"Brand-Miller, J., F. Atkinson, and A. Rowan, Effect of added carbohydrates on glycemic and insulin responses to children's milk products. Nutrients, 2013. 5(1): p. 23-31.",Normal,2h,11 (adults),2011
"Growing up beverage powder, product 6",43,,Infant Formula and Weaning Foods,Indonesia,,10,4,"Brand-Miller, J., F. Atkinson, and A. Rowan, Effect of added carbohydrates on glycemic and insulin responses to children's milk products. Nutrients, 2013. 5(1): p. 23-31.",Normal,2h,11 (adults),2011
"Growing up beverage powder, product 7",68,,Infant Formula and Weaning Foods,Malaysia,,10,7,"Brand-Miller, J., F. Atkinson, and A. Rowan, Effect of added carbohydrates on glycemic and insulin responses to children's milk products. Nutrients, 2013. 5(1): p. 23-31.",Normal,2h,11 (adults),2011
"Apple, apricot and banana cereal, Robinsons First Tastes from 4 months",56,"Nutricia, Wells, UK",Infant Formula and Weaning Foods,UK,,10,6,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,11 (adults),2001
Apple baby food,46,,Infant Formula and Weaning Foods,Czech Republic,,10,5,"Chlup, R., et al., Continuous glucose monitoring -- a novel approach to the determination of the glycaemic index of foods (DEGIF 1) -- determination of the glycaemic index of foods by means of the CGMS. Experimental and Clinical Endocrinology & Diabetes, 2006. 114(2): p. 68-74.",Normal,2h,20 (adults),2005
"Apple, pear and cinnamon fruit puree, homemade, puree consistency",29,,Infant Formula and Weaning Foods,Australia,,10,3,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10 (adults),2010
"Apple, Pear and Cinnamon fruit puree, Rafferty’s Garden, for ages 4 – 6 months, commercial",44,,Infant Formula and Weaning Foods,Australia,,10,4,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10 (adults),2010
"Chicken and noodles with vegetables, strained, Heinz for Baby from 4 months",67,"Heinz Wattie's Ltd, Australia",Infant Formula and Weaning Foods,Australia,,10,7,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10 (adults),2001
Creamed rice porridge Robinsons First Tastes from 4 months,59,"Nutricia, Wells, UK",Infant Formula and Weaning Foods,UK,,10,6,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,11 (adults),2001
"Fruit Muesli, containing wheat germ, rolled oats, apple juice, pear, and orange juice, homemade, porridge with lumps consistency",38,,Infant Formula and Weaning Foods,Australia,,10,4,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10 (adults),2010
"Fruity Muesli, Farex™, ages 7 – 9 months, prepared with water",65,,Infant Formula and Weaning Foods,Australia,,10,7,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10 (adults),2010
"Lentils and vegetable puree, containing red lentils, sweet potato, and carrot, homemade, mashed with lumps consistency",36,,Infant Formula and Weaning Foods,Australia,,10,4,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10 (adults),2010
"Lentils and vegetables puree, commercial, for ages 7 – 9 months, Heinz™ Mum’s Recipe",52,"Heinz Wattie's Ltd, Australia",Infant Formula and Weaning Foods,Australia,,10,5,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10 (adults),2010
"Farex™ baby rice, prepared with water",74,"Heinz Wattie's Ltd., Malvern, Australia",Infant Formula and Weaning Foods,Australia,,10,7,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10 (adults),2010
"Farex™ baby rice, 7 g cereal with 80 g water",95,"Heinz Wattie's Ltd., Malvern, Australia",Infant Formula and Weaning Foods,Australia,,10,10,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,11 (adults),2001
"Organix™ organic wholegrain baby rice, prepared with water",74,,Infant Formula and Weaning Foods,Australia,,10,7,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10 (adults),2010
"Rice pudding, Robinsons First Tastes from 4 months",59,"Nutricia, Wells, UK",Infant Formula and Weaning Foods,UK,,10,6,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,11 (adults),2001
"Sweetcorn and rice, Heinz for Baby from 4 months",65,"Heinz Wattie's Ltd, Australia",Infant Formula and Weaning Foods,Australia,,10,7,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,11 (adults),2001
"Sweet potato and pumpkin vegetable puree, homemade, puree consistency",61,,Infant Formula and Weaning Foods,Australia,,10,6,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10 (adults),2010
"Pasta and vegetables puree, containing pasta, tomatoes, sweet potato, carrot and onion, homemade, pureed with soft pieces consistency",54,,Infant Formula and Weaning Foods,Australia,,10,5,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10 (adults),2010
"Vegetable Mash, Harvest Veggies with Pasta puree, commercial, for ages 7 – 9 months, Heinz™ Mum’s Recipe",46,"Heinz Wattie's Ltd, Australia",Infant Formula and Weaning Foods,Australia,,10,5,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10 (adults),2010
"Vegetable Mash, Heinz™ Organic Golden commercial, containing pumpkin and sweet potato puree, for aged 4 – 6 months",43,"Heinz Wattie's Ltd, Australia",Infant Formula and Weaning Foods,Australia,,10,4,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10 (adults),2010
Baked Beans in Cheesy Tomato sauce,44,"HJ Heinz, Australia",Legumes,Australia,,15,7,"International Diabetes Institute (Melbourne, Australia), unpublished observations, 2006-2007.",Normal,2h,9,2006
Baked Beans in Barbecue sauce,47,"HJ Heinz, Australia",Legumes,Australia,,15,7,"International Diabetes Institute (Melbourne, Australia), unpublished observations, 2006-2007.",Normal,2h,9,2006
Baked Beans in Ham sauce,53,"HJ Heinz, Australia",Legumes,Australia,,15,8,"International Diabetes Institute (Melbourne, Australia), unpublished observations, 2006-2007.",Normal,2h,10,2006
Baked Beans in Sweet Chilli sauce,46,"HJ Heinz, Australia",Legumes,Australia,,15,7,"International Diabetes Institute (Melbourne, Australia), unpublished observations, 2006-2007.",Normal,2h,10,2006
Baked Beans in Tomato sauce,40,"HJ Heinz, Australia",Legumes,Australia,,15,6,"International Diabetes Institute (Melbourne, Australia), unpublished observations, 2006-2007.",Normal,2h,10,2006
"Baked Beans in Tomato sauce, canned, reheated in microwave for 1.5 min",57,"HJ Heinz, Australia",Legumes,Australia,,15,9,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2003
"Chickpeas, canned, drained, Edgell",35,"Simplot Australia, Australia",Legumes,Australia,,15,5,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,12,2018
"Chickpeas (Garbanzo beans, Bengal gram), canned, drained, Edgell's™ brand",38,"Simplot Australia, Australia",Legumes,Australia,,15,6,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2003
"Chickpeas, dried, roasted (‘chicknuts’)",39,,Legumes,Crete,,15,6,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2006
"Chickpea Hommus dip, Chris' Traditional brand",22,"Capitol Chilled Foods Pty Ltd, ACT, Australia)",Legumes,Australia,,15,3,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,11,2007
"Hummus (Sabra Classic Hummus; Sabra Dipping Co., S. Chesterfield, VA)",15,,Legumes,USA,,15,2,"Augustin, L.S.A., et al., Post-prandial glucose and insulin responses of hummus alone or combined with a carbohydrate food: a dose-response study. Nutrition Journal, 2016. 15: p. 13.",Normal,2h,10,2016
"Dark Red Kidney beans, canned in brine, drained, Edgell's™ brand",43,"Simplot Australia, Australia",Legumes,Australia,,15,6,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2003
"Red Kidney beans, canned, drained, Edgell's™ brand",36,"Simplot Australia, Australia",Legumes,Australia,,15,5,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2003
"Lentil, Asterix, washed, brought to boil in water (1:2.5 seed:water ratio) at 500°C (~11 min), once boiling was achieved temperature reduced to 280°C and continued to boil until soft",10,"Saskatchewan Pulse Growers, Canada",Legumes,Canada,,15,2,"Ramdath, D.D., et al., Investigating the relationship between lentil carbohydrate fractions and in vivo postprandial blood glucose response by use of the natural variation in starch fractions among 20 lentil varieties. Food & Function, 2017. 8(10): p. 3783-3791.",Normal,2h,10,2017
"Lentil, Greenland, washed, brought to boil in water (1:2.5 seed:water ratio) at 500°C (~11 min), once boiling was achieved temperature reduced to 280°C and continued to boil until soft",23,"Saskatchewan Pulse Growers, Canada",Legumes,Canada,,15,3,"Ramdath, D.D., et al., Investigating the relationship between lentil carbohydrate fractions and in vivo postprandial blood glucose response by use of the natural variation in starch fractions among 20 lentil varieties. Food & Function, 2017. 8(10): p. 3783-3791.",Normal,2h,10,2017
"Lentil, Imigreen, washed, brought to boil in water (1:2.5 seed:water ratio) at 500°C (~11 min), once boiling was achieved temperature reduced to 280°C and continued to boil until soft",14,"Saskatchewan Pulse Growers, Canada",Legumes,Canada,,15,2,"Ramdath, D.D., et al., Investigating the relationship between lentil carbohydrate fractions and in vivo postprandial blood glucose response by use of the natural variation in starch fractions among 20 lentil varieties. Food & Function, 2017. 8(10): p. 3783-3791.",Normal,2h,10,2017
"Lentil, Impower, washed, brought to boil in water (1:2.5 seed:water ratio) at 500°C (~11 min), once boiling was achieved temperature reduced to 280°C and continued to boil until soft",17,"Saskatchewan Pulse Growers, Canada",Legumes,Canada,,15,3,"Ramdath, D.D., et al., Investigating the relationship between lentil carbohydrate fractions and in vivo postprandial blood glucose response by use of the natural variation in starch fractions among 20 lentil varieties. Food & Function, 2017. 8(10): p. 3783-3791.",Normal,2h,10,2017
"Lentil, Improve, washed, brought to boil in water (1:2.5 seed:water ratio) at 500°C (~11 min), once boiling was achieved temperature reduced to 280°C and continued to boil until soft",15,"Saskatchewan Pulse Growers, Canada",Legumes,Canada,,15,2,"Ramdath, D.D., et al., Investigating the relationship between lentil carbohydrate fractions and in vivo postprandial blood glucose response by use of the natural variation in starch fractions among 20 lentil varieties. Food & Function, 2017. 8(10): p. 3783-3791.",Normal,2h,10,2017
